Runtimes:
Runtimes dpamult for Q:
1 0.001
10 0.002
20 0.001
Runtime dpaunc: 0.001
Runtimes MIP:
Min: 0.004
Max: 0.075
Avg: 0.0297262

Objective values for each no of shipment periods and method:
1 51737.7 51737.7 51737.7 51737.7 51737.7 51737.7 
2 23055.1 23055.1 23055.1 23055.1 23055.1 23055.1 
3 17509.1 17509.1 17509.1 17509.1 17509.1 17509.1 
4 13863.4 13863.4 13863.4 13863.4 13863.4 13863.4 
5 13447.3 13447.3 13447.3 13447.3 14084.3 13476.7 
6 13060.6 13060.6 13060.6 13060.6 14429.2 13060.6 

Optimality gap (in %) statistics min/max/avg for each method: 
Method 1: 0 0 0
Method 2: 0 0 0
Method 3: 0 0 0
Method 4: 0 10.4794 2.5361
Method 5: 0 0.218495 0.0364159

Objective of JRP found by using curve for each method
Method 0: Obj 15681.3, setups 4
Method 1: Obj 15681.3, setups 4
Method 2: Obj 15681.3, setups 4
Method 3: Obj 15681.3, setups 4
Method 4: Obj 15681.3, setups 4
Method 5: Obj 15681.3, setups 4

Optimal solution for each no of shipment periods, item and period:
Shipments 1:
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 

Shipments 2:
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 

Shipments 3:
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
