Runtimes:
Runtimes dpamult for Q:
1 0.001
10 0.002
20 0.001
Runtime dpaunc: 0
Runtimes MIP:
Min: 0.004
Max: 0.075
Avg: 0.0309027

Objective values for each no of shipment periods and method:
1 25839.6 25839.6 25839.6 25839.6 25839.6 25839.6 
2 13221.4 13221.4 13221.4 13221.4 13557.9 13221.4 
3 10347.2 10347.2 10347.2 10347.2 12280.9 10347.2 
4 8747.7 8747.7 8747.7 8747.7 11262.4 8747.7 
5 8153.91 8153.91 8153.91 8153.91 12412.4 8167.14 
6 7608.88 7608.88 7608.88 7608.88 13578 7608.88 

Optimality gap (in %) statistics min/max/avg for each method: 
Method 1: 0 0 0
Method 2: 0 0 0
Method 3: 0 0 0
Method 4: 0 78.4491 30.1093
Method 5: 0 0.162249 0.0270414

Objective of JRP found by using curve for each method
Method 0: Obj 10335.7, setups 6
Method 1: Obj 10335.7, setups 6
Method 2: Obj 10335.7, setups 6
Method 3: Obj 10335.7, setups 6
Method 4: Obj 13080.3, setups 4
Method 5: Obj 10335.7, setups 6

Optimal solution for each no of shipment periods, item and period:
Shipments 1:
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 

Shipments 2:
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
