Runtimes:
Runtimes dpamult for Q:
1 0.001
10 0.002
20 0.001
Runtime dpaunc: 0
Runtimes MIP:
Min: 0.004
Max: 0.075
Avg: 0.030032

Objective values for each no of shipment periods and method:
1 23911.4 23911.4 23911.4 23911.4 23911.4 23911.4 
2 13119.2 13119.2 13119.2 13119.2 13691.8 13119.2 
3 10446.2 10446.2 10446.2 10446.2 12634.3 11404.1 
4 8717.28 8717.28 8717.28 8717.28 11702 8717.28 
5 8235.16 8235.16 8235.16 8235.16 12874.1 8267.12 
6 7797.02 7797.02 7797.02 7797.02 14509.7 7797.02 

Optimality gap (in %) statistics min/max/avg for each method: 
Method 1: 0 0 0
Method 2: 0 0 0
Method 3: 0 0 0
Method 4: 0 86.0934 33.6623
Method 5: 0 9.16972 1.59296

Objective of JRP found by using curve for each method
Method 0: Obj 10507.5, setups 5
Method 1: Obj 10507.5, setups 5
Method 2: Obj 10507.5, setups 5
Method 3: Obj 10507.5, setups 5
Method 4: Obj 13519.8, setups 4
Method 5: Obj 10523.8, setups 6

Optimal solution for each no of shipment periods, item and period:
Shipments 1:
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 

Shipments 2:
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 

Shipments 3:
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 0 0 1 
1 0 0 0 0 1 
1 0 0 1 0 0 
1 0 0 0 0 1 
1 0 0 0 0 1 
1 0 0 0 0 0 
1 0 0 0 0 1 
1 0 0 1 0 1 
1 0 0 0 0 1 
1 0 0 1 0 0 
1 0 0 0 0 0 

Shipments 4:
1 1 0 1 0 0 
1 0 0 0 0 0 
1 1 0 1 0 1 
1 0 0 1 0 0 
1 1 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 1 0 1 0 0 
1 1 0 1 0 0 
1 1 0 0 0 0 
1 0 0 0 0 0 
1 1 0 1 0 1 
1 0 0 1 0 1 
1 1 0 1 0 1 
1 1 0 1 0 0 
1 1 0 1 0 1 
1 1 0 1 0 0 
1 1 0 0 0 0 
1 0 0 1 0 0 
1 1 0 1 0 0 
1 1 0 1 0 0 
1 1 0 0 0 1 
1 0 0 1 0 1 
1 1 0 0 0 0 
1 0 0 1 0 1 
1 0 0 0 0 0 
1 1 0 1 0 0 
1 1 0 1 0 0 
1 0 0 0 0 0 
1 1 0 0 0 1 
1 1 0 0 0 1 
1 1 0 1 0 0 
1 0 0 0 0 1 
1 0 0 0 0 1 
1 1 0 0 0 0 
1 1 0 0 0 1 
1 1 0 1 0 1 
1 0 0 0 0 1 
1 0 0 1 0 0 
1 1 0 0 0 0 

Shipments 5:
1 1 0 1 0 0 
1 0 0 0 0 0 
1 1 0 1 0 1 
1 0 0 1 0 0 
1 1 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 1 0 1 0 0 
1 1 0 1 0 0 
1 1 0 0 0 0 
1 0 0 0 0 0 
1 1 0 1 0 1 
1 0 0 0 1 1 
1 1 0 0 1 1 
1 1 0 1 0 0 
1 1 0 0 1 1 
1 1 0 1 0 0 
1 1 0 0 0 0 
1 0 0 1 0 0 
1 1 0 0 1 0 
1 1 0 1 0 0 
1 1 0 0 1 1 
1 0 0 1 1 1 
1 1 0 0 0 0 
1 0 0 1 0 1 
1 0 0 0 0 0 
1 1 0 0 1 0 
1 1 0 0 1 0 
1 0 0 0 0 0 
1 1 0 0 0 1 
1 1 0 0 0 1 
1 1 0 0 1 0 
1 0 0 0 0 1 
1 0 0 0 0 1 
1 1 0 0 0 0 
1 1 0 0 0 1 
1 1 0 1 0 1 
1 0 0 0 0 1 
1 0 0 1 0 0 
1 1 0 0 0 0 

Shipments 6:
1 1 0 1 0 0 
1 0 0 0 0 0 
1 1 1 1 0 1 
1 0 1 1 0 0 
1 1 0 1 0 1 
1 0 0 1 0 1 
1 0 1 1 0 0 
1 1 1 1 0 0 
1 1 0 1 0 0 
1 1 0 0 0 0 
1 0 0 0 0 0 
1 0 1 1 0 1 
1 0 0 0 1 1 
1 1 0 0 1 1 
1 1 0 1 0 0 
1 1 1 0 1 1 
1 1 0 1 0 0 
1 1 0 0 0 0 
1 0 1 1 0 0 
1 1 0 0 1 0 
1 0 1 1 0 0 
1 1 1 0 0 1 
1 0 0 1 1 1 
1 0 1 0 0 0 
1 0 1 1 0 1 
1 0 0 0 0 0 
1 0 1 0 1 0 
1 1 0 0 1 0 
1 0 0 0 0 0 
1 1 0 0 0 1 
1 1 0 0 0 1 
1 1 0 0 1 0 
1 0 0 0 0 1 
1 0 0 0 0 1 
1 1 0 0 0 0 
1 0 1 0 0 1 
1 1 0 1 0 1 
1 0 0 0 0 1 
1 0 1 1 0 0 
1 1 1 0 0 0 

