Runtimes:
Runtimes dpamult for Q:
1 0.001
10 0.002
20 0.002
Runtime dpaunc: 0
Runtimes MIP:
Min: 0.004
Max: 0.075
Avg: 0.0293528

Objective values for each no of shipment periods and method:
1 26816 26816 26816 26816 26816 26816 
2 13074.5 13074.5 13074.5 13074.5 13297.8 13074.5 
3 10011.9 10011.9 10011.9 10011.9 11456 10011.9 
4 8919.98 8919.98 8919.98 8919.98 11300.5 8919.98 
5 8094.73 8094.73 8094.73 8094.73 12252.8 8094.73 
6 7612.69 7612.69 7612.69 7612.69 13579 7612.69 

Optimality gap (in %) statistics min/max/avg for each method: 
Method 1: 0 0 0
Method 2: 0 0 0
Method 3: 0 0 0
Method 4: 0 78.373 28.76
Method 5: 0 0 0

Objective of JRP found by using curve for each method
Method 0: Obj 7438.14, setups 6
Method 1: Obj 7438.14, setups 6
Method 2: Obj 7438.14, setups 6
Method 3: Obj 7438.14, setups 6
Method 4: Obj 11184.1, setups 4
Method 5: Obj 7438.14, setups 6

Optimal solution for each no of shipment periods, item and period:
Shipments 1:
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 

Shipments 2:
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 

Shipments 3:
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 0 0 1 
1 0 0 0 0 1 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 1 

Shipments 4:
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 1 
1 1 0 1 0 0 
1 0 0 1 0 0 
1 1 0 0 0 0 
1 0 0 1 0 1 
1 1 0 0 0 0 
1 0 0 1 0 0 
1 0 0 0 0 1 
1 1 0 0 0 1 
1 1 0 1 0 0 
1 1 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 1 0 1 0 1 
1 0 0 1 0 1 
1 1 0 1 0 1 
1 0 0 1 0 1 
1 1 0 1 0 0 
1 0 0 1 0 0 
1 1 0 1 0 1 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 1 0 0 0 1 
1 1 0 1 0 1 
1 1 0 1 0 1 
1 1 0 1 0 1 
1 1 0 1 0 1 
1 1 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 1 0 0 
1 1 0 1 0 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 1 0 1 0 1 
1 1 0 1 0 0 
1 1 0 0 0 0 
1 0 0 1 0 1 

Shipments 5:
1 0 0 1 1 0 
1 0 0 0 1 0 
1 0 0 1 0 1 
1 1 0 1 0 0 
1 0 0 0 1 0 
1 1 0 0 0 0 
1 0 0 1 0 1 
1 1 0 0 0 0 
1 0 0 1 0 0 
1 0 0 0 0 1 
1 1 0 0 0 1 
1 1 0 0 1 0 
1 1 0 1 0 0 
1 0 0 0 1 0 
1 0 0 1 0 0 
1 1 0 0 1 1 
1 0 0 1 0 1 
1 1 0 1 1 1 
1 0 0 1 0 1 
1 1 0 0 1 0 
1 0 0 1 0 0 
1 1 0 1 1 1 
1 0 0 1 0 1 
1 0 0 0 1 0 
1 1 0 0 1 1 
1 1 0 0 1 1 
1 1 0 0 1 0 
1 1 0 0 1 1 
1 1 0 1 0 1 
1 1 0 0 1 0 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 0 1 0 
1 1 0 0 1 0 
1 0 0 1 0 1 
1 0 0 1 0 1 
1 1 0 1 1 1 
1 1 0 0 1 0 
1 1 0 0 0 0 
1 0 0 1 0 1 

Shipments 6:
1 0 0 1 1 0 
1 0 0 0 1 0 
1 0 0 1 0 1 
1 1 0 1 0 0 
1 0 0 0 1 0 
1 1 0 0 0 0 
1 0 1 1 0 1 
1 1 0 0 0 0 
1 0 0 1 0 0 
1 0 0 0 0 1 
1 0 1 0 0 1 
1 1 0 0 1 0 
1 0 1 1 0 0 
1 0 1 0 1 0 
1 0 0 1 0 0 
1 0 1 0 1 1 
1 0 0 1 0 1 
1 0 1 1 1 1 
1 0 1 0 0 1 
1 1 1 0 1 0 
1 0 0 1 0 0 
1 1 1 1 1 1 
1 0 0 1 0 1 
1 0 0 0 1 0 
1 1 0 0 1 1 
1 1 0 0 1 1 
1 1 0 0 1 0 
1 1 0 0 1 1 
1 1 0 1 0 1 
1 1 0 0 1 0 
1 0 0 0 0 0 
1 0 0 1 0 1 
1 0 0 0 1 0 
1 1 0 0 1 0 
1 0 1 1 0 1 
1 0 1 1 0 1 
1 1 0 1 1 1 
1 1 0 0 1 0 
1 0 1 0 0 0 
1 0 0 1 0 1 

