Runtimes:
Runtimes dpamult for Q:
1 0.001
10 0.002
20 0.001
Runtime dpaunc: 0
Runtimes MIP:
Min: 0.004
Max: 0.075
Avg: 0.0322952

Objective values for each no of shipment periods and method:
1 24804 24804 24804 24804 24804 24804 
2 12846 12846 12846 12846 13142.5 12846 
3 9889.06 9889.06 9889.06 9889.06 11688.9 9889.06 
4 8375.12 8375.12 8375.12 8375.12 11020.1 8375.12 
5 7783.58 7783.58 7783.58 7783.58 12398.2 8090.6 
6 7528.37 7528.37 7528.37 7528.37 13777.3 7528.37 

Optimality gap (in %) statistics min/max/avg for each method: 
Method 1: 0 0 0
Method 2: 0 0 0
Method 3: 0 0 0
Method 4: 0 83.0054 32.3969
Method 5: 0 3.94446 0.657411

Objective of JRP found by using curve for each method
Method 0: Obj 7353.83, setups 6
Method 1: Obj 7353.83, setups 6
Method 2: Obj 7353.83, setups 6
Method 3: Obj 7353.83, setups 6
Method 4: Obj 10903.7, setups 4
Method 5: Obj 7353.83, setups 6

Optimal solution for each no of shipment periods, item and period:
Shipments 1:
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 
1 0 0 0 0 0 

Shipments 2:
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 0 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
1 0 0 1 0 0 
